row_number,transction_year,transction_month,listing_province_name_en,listing_province_name_th,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,total_listing,median_asking_price_sqm,day
311,2019,5,BANGKOK,กรุงเทพมหานคร,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,283,111455,2022-09-05
1627,2020,8,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,คอนโด,Condo,47,52991,2022-09-05
1828,2019,11,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,ทาวน์โฮม,Townhome,27,26683,2022-09-05
1285,2020,8,BANGKOK,กรุงเทพมหานคร,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,22,91986,2022-09-05
1242,2021,7,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,1431,117189,2022-09-05
260,2021,9,BANGKOK,กรุงเทพมหานคร,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,112,79396,2022-09-05
1297,2020,4,BANGKOK,กรุงเทพมหานคร,พญาไท,PHAYA THAI,คอนโด,Condo,40,119832,2022-09-05
1458,2020,1,BANGKOK,กรุงเทพมหานคร,ดินแดง,DIN DAENG,คอนโด,Condo,59,92939,2022-09-05
28,2021,12,BANGKOK,กรุงเทพมหานคร,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,102,75575,2022-09-05
2103,2021,2,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,ทาวน์โฮม,Townhome,14,28380,2022-09-05
2067,2021,4,NONTHABURI,นนทบุรี,บางบัวทอง,BANG BUA THONG,บ้าน,Detached House,13,35903,2022-09-05
1861,2021,8,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,ทาวน์โฮม,Townhome,17,31960,2022-09-05
182,2022,2,BANGKOK,กรุงเทพมหานคร,บางกอกใหญ่,BANGKOK YAI,คอนโด,Condo,24,65894,2022-09-05
1142,2021,12,PATHUM THANI,ปทุมธานี,ลำลูกกา,LAM LUK KA,คอนโด,Condo,24,85920,2022-09-05
1879,2019,2,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,บ้าน,Detached House,12,29150,2022-09-05
2061,2021,12,BANGKOK,กรุงเทพมหานคร,สวนหลวง,SUAN LUANG,ทาวน์โฮม,Townhome,20,44219,2022-09-05
24,2021,4,BANGKOK,กรุงเทพมหานคร,สายไหม,SAI MAI,คอนโด,Condo,18,58444,2022-09-05
1734,2020,11,BANGKOK,กรุงเทพมหานคร,ลาดพร้าว,LAT PHRAO,ทาวน์โฮม,Townhome,15,52075,2022-09-05
765,2021,4,BANGKOK,กรุงเทพมหานคร,ทุ่งครุ,THUNG KHRU,คอนโด,Condo,12,52722,2022-09-05
950,2020,5,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,157,137058,2022-09-05
49,2021,3,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,1967,162443,2022-09-05
1218,2020,4,BANGKOK,กรุงเทพมหานคร,สวนหลวง,PHATTHANAKAN,คอนโด,Condo,14,66927,2022-09-05
307,2020,5,BANGKOK,กรุงเทพมหานคร,ลาดพร้าว,LAT PHRAO,คอนโด,Condo,20,68656,2022-09-05
1676,2019,12,BANGKOK,กรุงเทพมหานคร,ราชเทวี,RATCHATHEWI,คอนโด,Condo,49,169770,2022-09-05
1464,2021,10,PATHUM THANI,ปทุมธานี,คลองหลวง,KHLONG LUANG,คอนโด,Condo,42,76351,2022-09-05
1205,2020,6,BANGKOK,กรุงเทพมหานคร,วังทองหลาง,WANG THONGLANG,คอนโด,Condo,14,59388,2022-09-05
1976,2020,11,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,บ้าน,Detached House,15,27648,2022-09-05
472,2020,11,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,327,147388,2022-09-05
1967,2021,4,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,ทาวน์โฮม,Townhome,11,41891,2022-09-05
433,2020,8,BANGKOK,กรุงเทพมหานคร,บางกอกใหญ่,BANGKOK YAI,คอนโด,Condo,30,63567,2022-09-05
1494,2021,2,SAMUT PRAKAN,สมุทรปราการ,พระประแดง,PHRA PRADAENG,คอนโด,Condo,11,66526,2022-09-05
843,2019,5,BANGKOK,กรุงเทพมหานคร,บางเขน,BANG KHEN,คอนโด,Condo,24,67331,2022-09-05
1670,2020,11,BANGKOK,กรุงเทพมหานคร,ดอนเมือง,DON MUEANG,คอนโด,Condo,12,56503,2022-09-05
423,2020,8,BANGKOK,กรุงเทพมหานคร,สวนหลวง,SUAN LUANG,คอนโด,Condo,186,64122,2022-09-05
2023,2021,12,BANGKOK,กรุงเทพมหานคร,ภาษีเจริญ,PHASI CHAROEN,ทาวน์โฮม,Townhome,13,37689,2022-09-05
807,2019,7,BANGKOK,กรุงเทพมหานคร,บางคอแหลม,BANG KHO LAEM,คอนโด,Condo,24,94165,2022-09-05
71,2019,2,BANGKOK,กรุงเทพมหานคร,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,42,67231,2022-09-05
1729,2021,12,SAMUT PRAKAN,สมุทรปราการ,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,บ้าน,Detached House,18,26517,2022-09-05
698,2019,10,BANGKOK,กรุงเทพมหานคร,ราชเทวี,RATCHATHEWI,คอนโด,Condo,1857,161208,2022-09-05
1450,2019,9,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,366,106878,2022-09-05
1200,2021,12,BANGKOK,กรุงเทพมหานคร,สาทร,SATHON,คอนโด,Condo,1106,142863,2022-09-05
2166,2021,6,BANGKOK,กรุงเทพมหานคร,วังทองหลาง,WANG THONGLANG,ทาวน์โฮม,Townhome,15,42444,2022-09-05
1251,2019,9,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,คอนโด,Condo,69,60489,2022-09-05
183,2022,2,BANGKOK,กรุงเทพมหานคร,วังทองหลาง,WANG THONGLANG,คอนโด,Condo,31,69718,2022-09-05
704,2020,4,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,126,85424,2022-09-05
562,2021,11,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,คอนโด,Condo,145,54874,2022-09-05
564,2020,3,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,คอนโด,Condo,20,53821,2022-09-05
1953,2021,3,NONTHABURI,นนทบุรี,บางบัวทอง,BANG BUA THONG,ทาวน์โฮม,Townhome,16,23833,2022-09-05
123,2019,5,BANGKOK,กรุงเทพมหานคร,บางคอแหลม,BANG KHO LAEM,คอนโด,Condo,27,119136,2022-09-05
815,2019,3,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,คอนโด,Condo,20,78877,2022-09-05
976,2021,6,PATHUM THANI,ปทุมธานี,ธัญบุรี,THANYABURI,คอนโด,Condo,11,43997,2022-09-05
1079,2021,5,BANGKOK,กรุงเทพมหานคร,ปทุมวัน,PATHUM WAN,คอนโด,Condo,681,184725,2022-09-05
1006,2020,11,BANGKOK,กรุงเทพมหานคร,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,33,44343,2022-09-05
2175,2020,12,BANGKOK,กรุงเทพมหานคร,ลาดพร้าว,LAT PHRAO,ทาวน์โฮม,Townhome,12,38778,2022-09-05
2008,2019,11,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,ทาวน์โฮม,Townhome,67,33289,2022-09-05
